w0,w1,w2,w3,a0,a1,a2,a3,direction
120.0,180.0,280.0,220.0,9.0,4.0,0,0,0
110.0,180.0,290.0,220.0,10.0,111.0,0,0,0
110.0,190.0,290.0,210.0,10.0,101.0,0,0,3
110.0,200.0,290.0,200.0,10.0,91.0,0,0,3
110.0,210.0,290.0,190.0,10.0,81.0,0,0,3
110.0,220.0,290.0,180.0,10.0,71.0,0,0,3
110.0,230.0,290.0,170.0,10.0,61.0,0,0,3
110.0,240.0,290.0,160.0,10.0,51.0,0,0,3
110.0,250.0,290.0,150.0,10.0,41.0,0,0,3
110.0,260.0,290.0,140.0,10.0,31.0,0,0,3
110.0,270.0,290.0,130.0,10.0,21.0,0,0,3
110.0,280.0,290.0,120.0,10.0,11.0,0,0,3
110.0,290.0,290.0,110.0,10.0,1.0,0,0,3
100.0,290.0,300.0,110.0,0,0,118.0,202.0,0
100.0,280.0,300.0,120.0,0,0,118.0,192.0,1
100.0,270.0,300.0,130.0,0,0,118.0,182.0,1
100.0,260.0,300.0,140.0,0,0,118.0,172.0,1
100.0,250.0,300.0,150.0,0,0,118.0,162.0,1
100.0,240.0,300.0,160.0,0,0,118.0,152.0,1
100.0,230.0,300.0,170.0,0,0,118.0,142.0,1
100.0,220.0,300.0,180.0,0,0,118.0,132.0,1
100.0,210.0,300.0,190.0,0,0,118.0,122.0,1
100.0,200.0,300.0,200.0,0,0,118.0,112.0,1
100.0,190.0,300.0,210.0,0,0,118.0,102.0,1
100.0,180.0,300.0,220.0,0,0,118.0,92.0,1
100.0,170.0,300.0,230.0,0,0,118.0,82.0,1
100.0,160.0,300.0,240.0,0,0,118.0,72.0,1
100.0,150.0,300.0,250.0,0,0,118.0,62.0,1
100.0,140.0,300.0,260.0,0,0,118.0,52.0,1
100.0,130.0,300.0,270.0,0,0,118.0,42.0,1
100.0,120.0,300.0,280.0,0,0,118.0,32.0,1
100.0,110.0,300.0,290.0,0,0,118.0,22.0,1
100.0,100.0,300.0,300.0,0,0,118.0,12.0,1
100.0,90.0,300.0,310.0,0,0,118.0,2.0,1
110.0,90.0,290.0,310.0,0,0,108.0,2.0,2
120.0,90.0,280.0,310.0,0,0,98.0,2.0,2
130.0,90.0,270.0,310.0,0,0,88.0,2.0,2
140.0,90.0,260.0,310.0,0,0,78.0,2.0,2
150.0,90.0,250.0,310.0,0,0,68.0,2.0,2
160.0,90.0,240.0,310.0,0,0,58.0,2.0,2
